userId,listing_id,n_host_listings_total,n_host_listings_different_location
79099075,26083976,1,0
200869522,30961277,1,0
43968564,33994731,1,0
163114314,40489112,1,0
58082001,52189683,1,0
9421888,20244566,1,0
1747912,12777474,1,0
103718745,718959030962954697,1,0
88691029,47311932,1,0
40873922,24424632,1,0
61589394,34864815,1,0
61788882,23256302,1,0
5628122,650803035153899003,1,0
15494896,19164378,1,0
152951491,871155532048324859,1,0
42790639,739940572473537671,4,3
42790639,1129933942129949349,4,3
42790639,1171863901453051801,4,3
42790639,803543305530576071,4,3
73238844,15273004,1,0
35313430,750759325939917293,1,0
65254361,37249101,1,0
454011077,604331062715989200,1,0
169301744,750231626167563218,1,0
167630569,1064124554612122132,1,0
111405623,53956286,1,0
99292240,586887047108408655,1,0
174310965,637979744898287675,1,0
305152861,902323941732075642,1,0
158705169,33877193,1,0
215758322,51331360,1,0
59392668,839361213745149434,1,0
405104338,744144489125265861,1,0
71300051,1157519894774135537,1,0
301323821,49863163,1,0
61150990,49031133,3,2
61150990,48997802,3,2
61150990,49507326,3,2
526900748,947990816610690332,1,0
57695550,619621346338924286,1,0
121513440,54260788,1,0
151269324,21008920,1,0
56409235,44167381,2,1
56409235,41114427,2,1
128499967,668189656340398834,3,2
128499967,668454617470364541,3,1
128499967,661462967642289448,3,1
109013016,18567817,1,0
499228735,1132659779953507581,1,0
441094981,620494391551525779,1,0
131357889,815146376298430011,1,0
98533776,45190589,1,0
92893427,873564606022773386,1,0
116535033,755855287650658764,2,0
116535033,599422927547739807,2,0
576143061,1151713967186208421,2,1
576143061,1154563324301070535,2,1
119184947,18722846,1,0
349702502,692008900924002558,3,1
349702502,673223589072867058,3,0
349702502,693065453803524941,3,1
172580878,547309567791574066,1,0
93764944,49286784,1,0
53060443,747821165941188038,1,0
357012310,44413023,1,0
208254772,835474949258384983,1,0
110853775,650968763178009198,1,0
11656544,41377423,1,0
129748941,53090294,2,1
129748941,623630133178654713,2,1
178516461,25431139,1,0
67786273,13606625,2,0
67786273,13660530,2,0
194702095,1100733147900011795,1,0
77405954,603702552275009756,1,0
470445813,674714708137332088,1,0
464288007,649346306801905733,1,0
389143529,48231470,1,0
41314256,961968277891140509,1,0
291185828,39499567,2,1
291185828,38300409,2,1
168016870,1167541311089111905,1,0
193047521,37332755,1,0
166850033,726717657577928008,1,0
362086319,45151896,1,0
6847861,30205400,1,0
14059622,715913943190671786,1,0
148941166,52387160,1,0
383502608,47707330,3,2
383502608,47566614,3,2
383502608,800990333228611395,3,2
234865348,52884142,2,1
234865348,48805857,2,1
129956866,871835684296024929,1,0
462606587,642242983177829109,1,0
128273773,948599861444009712,1,0
45076258,913306214487696637,1,0
124276209,52759125,1,0
176247087,886411425387119308,1,0
136477089,853106024819578193,2,1
136477089,33944652,2,1
130171566,49923553,2,0
130171566,46172068,2,0
2723931,1161907217676800621,1,0
25706825,612514049423802312,1,0
27215753,50197005,1,0
432083758,53365752,1,0
362772436,610376514186684793,5,2
362772436,52809738,5,0
362772436,51670839,5,2
362772436,51199093,5,2
362772436,49213134,5,2
552479634,1063419108690169207,1,0
144025958,783844626132513903,1,0
19867638,943418662549737180,5,3
19867638,913111975203784864,5,3
19867638,729819865253758950,5,4
19867638,51334441,5,4
19867638,598740445185635326,5,4
129621528,44233037,3,2
129621528,45240366,3,2
129621528,51447396,3,2
47641042,34432017,1,0
95865564,32642568,1,0
21367896,25285149,1,0
58030784,30893106,1,0
156466735,28204514,1,0
406395173,50327067,1,0
457657966,620379402142830244,1,0
15904151,897875248444939282,1,0
258172680,629243780281288812,1,0
329488354,41722995,1,0
526694702,939044276323250228,1,0
411982070,50943540,1,0
564652706,1105910949429187608,1,0
481961907,795298627713998010,3,0
481961907,806475939822151769,3,0
481961907,806484070732606389,3,0
70013586,12831946,1,0
506137670,947239340123052410,1,0
21927231,52191172,1,0
100256438,25517238,1,0
526505972,945726643443095224,1,0
405842515,50266191,1,0
368144426,45494981,1,0
450798869,588377368526718816,1,0
142279642,20072202,5,0
142279642,20120700,5,1
142279642,20126340,5,0
142279642,20032959,5,1
142279642,20308001,5,2
42342956,45508645,1,0
10717243,16721181,1,0
186362755,631997869380361721,1,0
392110790,921857198855007413,1,0
501827239,830433192019554124,1,0
26317255,1148699483320048242,1,0
